name,ring,quadrant,isNew,description
OpenAPI,adopt,tools,FALSE,"The <a href=""https://github.com/OAI/OpenAPI-Specification"">OpenAPI Specification</a> (formerly known as Swagger) is a community-driven open specification within the OpenAPI Initiative, a Linux Foundation Collaborative Project.

The OpenAPI Specification (OAS) defines a standard, programming language-agnostic interface description for REST APIs, which allows both humans and computers to discover and understand the capabilities of a service without requiring access to source code, additional documentation, or inspection of network traffic. When properly defined via OpenAPI, a consumer can understand and interact with the remote service with a minimal amount of implementation logic. Similar to what interface descriptions have done for lower-level programming, the OpenAPI Specification removes guesswork in calling a service."
Zally,adopt,tools,FALSE,"<a href=""https://github.com/zalando/zally"">Zally</a> is a minimalistic (REST) API linter that in it's standard configuration lint againts the <a href=""http://zalando.github.io/restful-api-guidelines/"">Zalando's RESTful guidelines</a>. Zally's easy-to-use CLI uses the server in the background so that you can check your API on the spot. It also features an intuitive Web UI that shows implemented rules and lints external files and (with its online editor) API definitions."
Sentry,adopt,tools,FALSE,"<a href=""https://sentry.io/welcome/"">Sentry</a> is an error tracking solution, we use in our frontends."
Selenium,adopt,tools,FALSE,"<a href=""https://www.seleniumhq.org/"">Selenium</a> is a well supported standard for browser automation. Our cloud based browser test runner BrowserStack also relies on Selenium."
BrowserStack,adopt,tools,FALSE,"Browserstack has been introduced in 2017 to support IE browser tests and we only have one account right now, nobody feels responsible right now so this has been escalated to higher places to decide how to continue, which would include providing the teams with sufficient accounts to support their testing efforts."
DataDog,adopt,tools,FALSE,"<a href=""https://www.datadoghq.com"">Datadog</a> is a managed monitoring solution, that can increase our observability capabilities with little engineering effort on our side. Tools like DataDog give the operational insight required for teams being able to run their own services. Our initial trial was successful without much hassle and teams liked the ease of use."
OpsGenie,adopt,tools,FALSE,"<a href=""https://www.opsgenie.com/"">OpsGenie</a> is a modern incident management tool, that routes and consolidates alerts. On-call schedules, escalation strategies and means to alert can be defined."
Gradle,adopt,tools,TRUE,"<i><a href=""https://gradle.org/"">Gradle</a></i> is a build-management and automation tool it can be used to build and deploy application code as well as infrastructure. Gradle supports build scripts  written in Groovy or Kotlin, which makes them very powerful and flexible."
ApiCenter,trial,tools,TRUE,"<i><a href=""https://github.com/TNG/ApiCenter"">ApiCenter</a></i> is an API registry for OpenAPI specifications written and opensourced by TNG Technology. It is intended to have a centralized place to search and browse available APIs."
ArchUnit,trial,tools,TRUE,"<a href=""https://www.archunit.org/"">ArchUnit</a> is test framework for Java (and Kotlin) applications that allows to test the architecture of an application. It is well suited to check that the application follows a certain structure, e.g. hexagonal or layered architecutre, or whether classes/packages access other classes/packages. Since the tests are common JUnit tests and since they run fast, ArchUnit gives immediate feedback about your architecture during development and avoids regression errors in CI/CD runs."
Kong API Gateway,assess,tools,TRUE,"A popular, widely adopted API Gateway build on top of NGINX. It's blazingly fast and has a huge feature set. However it also required a PostgreSQL or Cassandra database and seems to be too complicated for us. More information on the <a href=""https://konghq.com/"">Kong website</a> or <a href=""https://www.youtube.com/watch?v=OUUiS28hZuw"">introduction video</a>"
pivio.io,assess,tools,FALSE,"<i><a href=""https://pivio.io"">pivio.io</a> is description in your source code with all the metadata of your service describing itself. This can be as simple as the name, owner and vcs information as well as useful information about runtime environment, used licenses and service dependencies.
Pivio is a service registry for humans.</i>
We have postponed our assessment, until we have a proper API registry. Some needs for a human service registry are also fullfiled by an API registry."
Jib,assess,tools,TRUE,"<a href=""https://github.com/GoogleContainerTools/jib"">Jib</a> is able to build Docker Images for Java applications. Jib is daemonless and it separates your application into several image layers. That makes incremental builds possible. With proper caching in place, you are able to reduce your build time and to simplify your CI-system significantly. It is available as Maven and Gradle plugin."
Cloud Conformity,assess,tools,TRUE,"<a href=""https://www.cloudconformity.com/"">Cloud Conformity</a> is a managed continuous assurance tool for AWS accounts. It could be an alternative to AWS Config rules, because AWS Config and Config rules can become quite expensive. There are managed rules and open source collections of custom rules, but it is still some effort."
Cloud Custodian,assess,tools,TRUE,"<a href=""https://github.com/capitalone/cloud-custodian"">Cloud Custodian</a> is an OSS cloud governance tool that has an active community. It could be an alternative to AWS Config rules, because AWS Config and Config rules can become quite expensive."
Ranorex,hold,tools,FALSE,"<a href=""https://www.ranorex.com/"">Ranorex</a> is an UI test automation tool that is used by some teams. As its propriarity tool and the automation is done using .NET there is less of an ecosystem around it. In comparison the <a href=""https://www.seleniumhq.org/ecosystem/"">selenium ecosystem</a> lists alone 5 cloud based test runners. Teams should strongly consider Selenium based test automation, but there is currently no need to migrate existing tests away from Ranorex."
A single CI instance for all teams,hold,tools,FALSE,"A single CI instance and its configuration becomes a bottleneck and couples teams to a shared service. We want to rather support teams to own their CI. See also the <a href=""https://www.thoughtworks.com/radar/techniques/a-single-ci-instance-for-all-teams"">blip from TW</a>"
Self-hosted ELK,hold,tools,FALSE,We want to avoid the undifferentiated heavy lifting of operating our own logging and monitoring infrastructure and rather aim for a managed solution like DataDog.
Sonar theater,hold,tools,FALSE,"Measuring software internal quality is still a mystery, even though many source code metrics have been around for years. The problem with those metrics is they usually only capture one aspect of quality. We must consult many metrics to come to a conclusion about the overall quality of our code. Sonar is an integrated tool for checking, tracking and visualizing those metrics. It not only combines metrics together, but also mixes them with historical measures, giving us a better insight into the internal quality of the codebase. We, however, have seen mostly isses found and coverd which are not very important and code quality does not increase when code is written to just ""make sonar happy"". As a result we see unit tests for gettes/setters and similar methods for Java. It is significantly better to use a programming language which supports default implementations (e.g Kotlin or C#)."
Node.js,adopt,languages & frameworks,FALSE,"<a href=""https://nodejs.org/en/about/"">Node</a> is an asynchronous event driven JavaScript runtime designed to build scalable network applications. There are a ton of libraries and frameworks available to use with node through npm and, usually, the community support is top notch. Currently node is used in multiple projects within RIO and especially within the marketplace. When comparing with java/spring, the development speed and lightweightedness is appreciated by the developer.

Change possible, dedicated discussion required."
Python 3,adopt,languages & frameworks,FALSE,Simpler tasks for the command line as well as small Lambdas on AWS should when using Python use it in version 3 instead of 2.7.
Spring Boot 2,adopt,languages & frameworks,FALSE,"<a href=""https://spring.io/blog/2018/03/01/spring-boot-2-0-goes-ga"">Spring Boot</a> has been the main framework used for the microservices we have seen and thus upgrade to the new major version 2 seems to be the obvious choice. There are some significant changes which are targeted to support several state of the art concepts (Reactive programming, Kotlin support, Application metrics) in current development setups."
Typescript,trial,languages & frameworks,FALSE,"Change possible, dedicated discussion required."
Kotlin for backend,trial,languages & frameworks,FALSE,"<a href=""http://kotlinlang.org/"">Kotlin</a> has experienced an accelerated rate of adoption and rapid growth of tooling support. Some of the reasons behind its popularity are its concise syntax, null safety, ease of transition from Java and interoperability with other JVM-based languages in general, and that it doubles as a great introductory language to functional programming. With JetBrains adding the ability to compile Kotlin to native binarieson multiple platforms, as well as transpile to JavaScript, we believe it has the potential of much wider use by the larger community of mobile and native application developers. Although at the time of writing, some of the tooling such as static and coverage code analysis have yet to mature, given our experience of using Kotlin in many production applications, we believe Kotlin is ready for general adoption.

Change possible, dedicated discussion required."
Flow,assess,languages & frameworks,TRUE,"Flow is a static type checker for your JavaScript code. Flow checks your code for errors through static type annotations. Because Flow understands JavaScript so well, it doesn’t need many of these types. You should only ever have to do a minimal amount of work to describe your code to Flow and it will infer the rest. A lot of the time, Flow can understand your code without any types at all. That's why it may be a good alternative those who want to use stytic type checking in JavaScript. It also may be a good alternative for TypeScript."
Golang for Lambda,assess,languages & frameworks,TRUE,"Go is an open source programming language that makes it easy to build simple, reliable, and efficient software. It is superior to JavaScript for Lambdas since it is typesafed and very fast."
Ktor,assess,languages & frameworks,TRUE,Ktor is a framework for building asynchronous servers and clients in connected systems using the powerful Kotlin programming language.
Spring Boot 1,hold,languages & frameworks,TRUE,"<a href=""https://spring.io/blog/2018/03/01/spring-boot-2-0-goes-ga"">Spring Boot</a> has been the main framework used for the microservices we have seen and thus upgrade to the new major version 2 seems to be the obvious choice. There are some significant changes which are targeted to support several state of the art concepts (Reactive programming, Kotlin support, Application metrics) in current development setups."
Avro,hold,languages & frameworks,FALSE,TODO: Write and accept ADR
Adobe Experience Manager,adopt,platforms,FALSE,We use AEM as content management tool for the more static parts of our web presence. Content as part of our own applications are static resources in the respective repositories.
