name,quadrant,ring,isNew,description
4 key metrics,techniques,adopt,TRUE,"The published results in <a href=""https://itrevolution.com/book/accelerate/"">Accelerate</a> show a direct link between organizational performance and software delivery performance. It's only four key metricts that differentiate between low, medium and high performers: lead time, deployment frequency, mean time to restore (MTTR) and change fail rate."
API first,techniques,adopt,FALSE,"The idea of <a href=""https://www.programmableweb.com/api-university/understanding-api-first-design"">API first</a> is to develop the API together with the stakeholders before starting with the implementation. The benefit is to get feedback early and think more about the requirements for the API instead of the implementation details. For us the service interface includes published events which should go through the same design process."
Architecture decision records,techniques,adopt,FALSE,"Important design and architecture decisions should be documented. This helps our future self to understand why and in what context those decisions where made and what where the consequences.<br /><br />Those lightweight architecture decision records should be kept in the same repository as the service affected by the decision. If the decision is on a bounded context level, it should be kept in a separate repository within the project of the context. Macro architecture decisions are kept in Confluence."
CQRS,techniques,adopt,FALSE,"<a href=""https://martinfowler.com/bliki/CQRS.html"">CQRS - Command Query Responsibility Segregation</a> is an architectural pattern that implies using different models for updates and reads. A command is any method that mutates state and a query is any method that returns a value, but does not change state.<br />
CQRS allows, but does not require different persisted data models. This is in contrast to CRUD applications, where you use a single model.<br />
CQRS in conjunction with Event Sourcing and is a very powerful and complex pattern. See also Event Sourcing."
Dependency License check,techniques,adopt,TRUE,"All Software projects should implement a Dependencies License check and periodically to identify if any of the project's dependencies have a license that should not used, avoiding legal issues."
Dependency Vulnerability check,techniques,adopt,TRUE,"All Software projects should implement a Dependencies Vulnerability check and periodically perform an analysis in the attempt to detect publicly disclosed vulnerabilities contained within a project’s dependencies, avoiding the usage of problematic dependencies."
Domain-Driven Design,techniques,adopt,FALSE,"<a href=""http://dddcommunity.org/"">Domain-Driven-Design</a> was first described by Eric Evans in 2004. It is an approach to software development for complex needs by connecting the implementation to an evolving model of the core buiseness concepts. The cpmplexity of the domain is supposed to be the most significant in most projects. Hence, the focus during the design process should be placed on the core domain and the domain logic. Additionally, DDD should initiate a creative and iterative collaboration between technical and domain experts to be able to understand the conceptual heart of complex problems."
Event Sourcing,techniques,adopt,FALSE,"<a href=""https://docs.microsoft.com/en-us/azure/architecture/patterns/event-sourcing"">Event Sourcing</a> as an architectural pattern defines an approach to handling operations on data that's driven by a sequence of events which are recorded in an append-only store.<br />
Event Sourcing is typically used in conjunction CQRS and matches our event-driven architecture. It also brings technical and conceptual complexity, therefor usage of those patterns depends on the complexity of the problem to solve and the experience of the team.<br />
It allows you to reduce accidental complexity when working in a complex domain. Due to the event based history, it is possible to react to future changes in business requirements in a flexible way.<br />
When working with EventStorming or EventModelling the transition from design to implementation is possible with any transition.<br />
The above link contains a thourough <i>When to use this pattern</i> analysis."
Feature toggles,techniques,adopt,FALSE,"<a href=""https://martinfowler.com/articles/feature-toggles.html"">Feature toggles</a> are an import concept in continuous delivery. Release toggles decouple features releases from code deployments and enable trunk based development."
Hexagonal architecture,techniques,adopt,FALSE,"Hexagonal Architecture is a software design pattern, which fits well into Domain-Driven-Design approaches. It is also known as onion architecture, clean architecture or ports and adapters. The pattern describes a 2-dimensional layered architecture with the domain in its core, surrounded by application and framework layers. Objects (adapters) from outer layers can implement interfaces (ports) of inner layers but are not used directly. This architecture pattern helps separating the concerns of your application and focussing on the core domain for better maintainability and less technical debt."
