name,Original Ring,New Ring,Original quadrant,New quadrant,isNew,description
AxonIQ,assess,adopt,languages & frameworks,,FALSE,"<a href=""https://axoniq.io/"">AxonIQ</a> is a framework that helps to build Event Sourcing applications using CQRS architecture pattern. It integrates well with Spring, supports relational databases or MongoDB as event store and has integration for Kafka. It helps to start solving problems with Event Sourcing instead of solving Event Sourcing problems providing solution to read model reacreation, different event handling strategies within or out of the transactional boundaries of the aggregate and much more. "
Mithril,assess,remove,languages & frameworks,,FALSE,"<a href=""https://mithril.js.org"">Mithril</a>is a modern client-side JavaScript framework for building Single Page Applications. It is like a lightweight react that is fully developed without these big movements in code like react 15 to 16. In many cases it is much faster and easier to handle as react. It works with nearly every tool that can be used with react but you don´t have to use specific frameworks / tools. For example the redux state can fully be used and the react components can be included in an own space."
Java,default,hold,languages & frameworks,,TRUE,"Kotlin should be used in favor of Java because it is an evolving technology that needs less boilerplate code on its usage and supports Java code and Libraries without problems that.
This reduce the amount the technologies being used at the same time in RIO."
JavaScript,default,hold,languages & frameworks,,TRUE,"Typescript should be used in favor of Javascript because of its advantages, e.g. type support and IDE integrations, and growing code base at RIO, making easier to share solutions and modules when using a common language."
Node.js for services,hold,remove/default,languages & frameworks,,FALSE,"<a href=""https://nodejs.org/en/about/"">Node</a> is an asynchronous event driven JavaScript runtime designed to build scalable network applications. There are a ton of libraries and frameworks available to use with node through npm and, usually, the community support is top notch. Currently node is used in multiple projects within RIO and especially within the marketplace.
We discourage starting new services with Node.js ,as we do not want to support and maintain a tech stack in addition to our JVM based one."
Spring Boot 1,hold,remove/default,languages & frameworks,,FALSE,"<a href=""https://spring.io/blog/2018/03/01/spring-boot-2-0-goes-ga"">Spring Boot</a> has been the main framework used for the microservices we have seen and thus upgrade to the new major version 2 seems to be the obvious choice. There are some significant changes which are targeted to support several state of the art concepts (Reactive programming, Kotlin support, Application metrics) in current development setups."
Coroutines,,assess,languages & frameworks,,TRUE,"One can think of a <a href=""https://kotlinlang.org/docs/reference/coroutines-overview.html"">coroutine</a> as a light-weight thread. Like threads, coroutines can run in parallel, wait for each other and communicate. The biggest difference is that coroutines are very cheap, almost free. Tt is possible to use Coroutines in the same way as a Promise/Deferred, where you function will resolve it at some point in the future, not blocking the main thread while waiting for the function to be resolved."
GraalVM,,assess,languages & frameworks,,TRUE,"<a href=""https://www.graalvm.org/"">GraalVM</a> is a polyglot VM from Oracle. It can be used as an replacement for the JVM to improve runtime performance of applications or to integrate different languages in the same application e.g. to use statistic capabilities of R within a Node.js application or to make use of good tooling (e.g. chrome debugger) of another programming language. One of the most interesting features is native image compilation."
Micronaut,,assess,languages & frameworks,,TRUE,"<a href=""https://micronaut.io/"">Micronaut</a> is a JVM based web framework for building microservices. It tries to avoid use of reflection in favor of annotation processing for performance reasons and better support of GraalVM. It allows to deploy the same application with an embedded application server or as serverless application. The eco system, which is constantly growing, provides modules for databases, messaging or web technnologies like OAuth."
React Testing Library,,assess,languages & frameworks,,TRUE,"The <a href=""https://testing-library.com/docs/react-testing-library/intro"">React Testing Library</a> is a very light-weight solution for testing React components. At RIO we use it to do frontend unit and integration tests without considering the Browser."
